ticker,name
sz.399608,科技100
sz.399610,TMT50
sz.399611,中创100R
sz.399612,中创100
sz.399613,深证能源
sz.399614,深证材料
sz.399615,深证工业
sz.399616,深证可选
sz.399617,深证消费
sz.399618,深证医药
sz.399619,深证金融
sz.399620,深证信息
sz.399621,深证电信
sz.399622,深证公用
sz.399623,中小基础
sz.399624,中创400
sz.399625,中创500
sz.399626,中创500成长
sz.399627,中创500价值
sz.399628,700成长
sz.399629,700价值
sz.399630,1000成长
sz.399631,1000价值
sz.399632,深100EW
sz.399633,深300EW
sz.399634,中小板EW
sz.399635,创业板EW
sz.399636,深证装备
sz.399637,深证地产
sz.399638,深证环保
sz.399639,深证大宗
sz.399640,创业基础
sz.399641,深证新兴
sz.399642,中小新兴
sz.399643,创业新兴
sz.399644,深证时钟
sz.399645,100低波
sz.399646,深消费50
sz.399647,深医药50
sz.399648,深证GDP100
sz.399649,中小板红利
sz.399650,中小板治理
sz.399651,中小板责任
sz.399652,中创高新
sz.399653,深证龙头
sz.399654,深证文化
sz.399655,深证绩效
sz.399656,100绩效
sz.399657,300绩效
sz.399658,中小绩效
sz.399659,深成指EW
sz.399660,中创EW
sz.399661,深证低波
sz.399662,深证高贝
sz.399663,中小低波
sz.399664,中小高贝
sz.399665,中创低波
sz.399666,中创高贝
sz.399667,创业板G
sz.399668,创业板V
sz.399669,深证农业
sz.399670,深周期50
sz.399671,深防御50
sz.399672,深红利50
sz.399673,创业板50
sz.399674,深A医药
sz.399675,深互联网
sz.399676,深医药EW
sz.399677,深互联EW
sz.399678,深次新股
sz.399679,深证200R
sz.399701,深证F60
sz.399702,深证F120
sz.399703,深证F200
sz.399704,深证上游
sz.399705,深证中游
sz.399706,深证下游
sz.399802,500深市
sz.399901,小康指数
sz.399908,沪深300能源
sz.399909,沪深300材料
sz.399910,沪深300工业
sz.399911,沪深300可选
sz.399912,沪深300消费
sz.399913,沪深300医药
sz.399914,沪深300金融
sz.399915,沪深300信息
sz.399916,沪深300电信
sz.399917,沪深300公用
sz.399918,沪深300成长
sz.399919,沪深300价值
sz.399920,沪深300R成长
sz.399925,基本面50
sz.399927,央企100
sz.399939,民企200
sz.399941,新能源
sz.399942,内地消费
sz.399943,内地基建
sz.399944,内地资源
sz.399945,内地运输
sz.399946,内地金融
sz.399947,内地银行
sz.399948,内地地产
sz.399949,内地农业
sz.399950,300基建
sz.399951,300银行
sz.399952,300地产
sz.399954,地企100
sz.399956,国企200
sz.399957,300运输
sz.399958,创业成长
sz.399968,300周期
sz.399969,300非周
sz.399972,300深市
sz.399977,内地低碳
sz.399978,医药100
sz.399979,大宗商品
sz.399982,500等权
